stock_code,historical_name,current_name,exchange,historical_rank,historical_esg_score,decision,reason,requires_review
300118.SZ,东方日升新能源股份有限公司,东方日升,SZSE,66,50.99,provisional_include,历史能源样本且当前仍正常上市,False
300693.SZ,深圳市盛弘电气股份有限公司,盛弘股份,SZSE,67,50.78,provisional_include,历史能源样本且当前仍正常上市,False
600973.SH,宝胜科技创新股份有限公司,宝胜股份,SSE,68,50.7,provisional_include,历史能源样本且当前仍正常上市,False
00639.HK,首钢福山资源集团有限公司,,HKEX,69,50.66,pending_snapshot,HKEX官方快照尚未接入,True
03668.HK,兖煤澳大利亚有限公司,,HKEX,70,50.43,pending_snapshot,HKEX官方快照尚未接入,True
600885.SH,宏发科技股份有限公司,宏发股份,SSE,71,49.69,provisional_include,历史能源样本且当前仍正常上市,False
01250.HK,山高新能源集团有限公司,,HKEX,72,48.98,pending_snapshot,HKEX官方快照尚未接入,True
600028.SH,中国石油化工股份有限公司,中国石化,SSE,73,48.95,provisional_include,历史能源样本且当前仍正常上市,False
300882.SZ,浙江万胜智能科技股份有限公司,万胜智能,SZSE,74,48.79,provisional_include,历史能源样本且当前仍正常上市,False
600098.SH,广州发展集团股份有限公司,广州发展,SSE,75,48.61,provisional_include,历史能源样本且当前仍正常上市,False
601985.SH,中国核能电力股份有限公司,中国核电,SSE,76,48.41,provisional_include,历史能源样本且当前仍正常上市,False
000883.SZ,湖北能源集团股份有限公司,湖北能源,SZSE,77,48.36,provisional_include,历史能源样本且当前仍正常上市,False
600871.SH,中石化石油工程技术服务股份有限公司,石化油服,SSE,78,48.06,provisional_include,历史能源样本且当前仍正常上市,False
300105.SZ,烟台龙源电力技术股份有限公司,龙源技术,SZSE,79,47.71,provisional_include,历史能源样本且当前仍正常上市,False
688032.SH,杭州禾迈电力电子股份有限公司,禾迈股份,SSE,80,47.61,provisional_include,历史能源样本且当前仍正常上市,False
600635.SH,上海大众公用事业(集团)股份有限公司,大众公用,SSE,81,47.42,provisional_include,历史能源样本且当前仍正常上市,False
600032.SH,浙江省新能源投资集团股份有限公司,浙江新能,SSE,82,47.33,provisional_include,历史能源样本且当前仍正常上市,False
00206.HK,华商能源科技股份有限公司,,HKEX,83,47.26,pending_snapshot,HKEX官方快照尚未接入,True
00467.HK,联合能源集团有限公司,,HKEX,84,47.18,pending_snapshot,HKEX官方快照尚未接入,True
603659.SH,上海璞泰来新能源科技股份有限公司,璞泰来,SSE,85,47.1,provisional_include,历史能源样本且当前仍正常上市,False
002493.SZ,荣盛石化股份有限公司,荣盛石化,SZSE,86,47.05,provisional_include,历史能源样本且当前仍正常上市,False
600236.SH,广西桂冠电力股份有限公司,桂冠电力,SSE,87,47,provisional_include,历史能源样本且当前仍正常上市,False
300316.SZ,浙江晶盛机电股份有限公司,晶盛机电,SZSE,88,46.87,provisional_include,历史能源样本且当前仍正常上市,False
600475.SH,无锡华光环保能源集团股份有限公司,华光环能,SSE,89,46.78,provisional_include,历史能源样本且当前仍正常上市,False
600886.SH,国投电力控股股份有限公司,国投电力,SSE,90,46.76,provisional_include,历史能源样本且当前仍正常上市,False
000922.SZ,哈尔滨电气集团佳木斯电机股份有限公司,佳电股份,SZSE,91,46.75,provisional_include,历史能源样本且当前仍正常上市,False
02380.HK,中国电力国际发展有限公司,,HKEX,92,46.61,pending_snapshot,HKEX官方快照尚未接入,True
600905.SH,中国三峡新能源(集团)股份有限公司,三峡能源,SSE,93,46.24,provisional_include,历史能源样本且当前仍正常上市,False
002479.SZ,浙江富春江环保热电股份有限公司,富春环保,SZSE,94,46.12,provisional_include,历史能源样本且当前仍正常上市,False
01921.HK,达力普控股有限公司,,HKEX,95,45.7,pending_snapshot,HKEX官方快照尚未接入,True
002267.SZ,陕西省天然气股份有限公司,陕天然气,SZSE,96,45.6,provisional_include,历史能源样本且当前仍正常上市,False
600151.SH,上海航天汽车机电股份有限公司,航天机电,SSE,97,45.36,provisional_include,历史能源样本且当前仍正常上市,False
601179.SH,中国西电电气股份有限公司,中国西电,SSE,98,45.28,provisional_include,历史能源样本且当前仍正常上市,False
600021.SH,上海电力股份有限公司,上海电力,SSE,99,45.27,provisional_include,历史能源样本且当前仍正常上市,False
00934.HK,中石化冠德控股有限公司,,HKEX,100,45.23,pending_snapshot,HKEX官方快照尚未接入,True
00554.HK,汉思能源有限公司,,HKEX,101,45.22,pending_snapshot,HKEX官方快照尚未接入,True
01193.HK,华润燃气控股有限公司,,HKEX,102,45.2,pending_snapshot,HKEX官方快照尚未接入,True
688223.SH,晶科能源股份有限公司,晶科能源,SSE,103,45.19,provisional_include,历史能源样本且当前仍正常上市,False
688472.SH,阿特斯阳光电力集团股份有限公司,阿特斯,SSE,104,45.18,provisional_include,历史能源样本且当前仍正常上市,False
603185.SH,弘元绿色能源股份有限公司,弘元绿能,SSE,105,45.12,provisional_include,历史能源样本且当前仍正常上市,False
603806.SH,杭州福斯特应用材料股份有限公司,福斯特,SSE,106,45.02,provisional_include,历史能源样本且当前仍正常上市,False
002709.SZ,广州天赐高新材料股份有限公司,天赐材料,SZSE,107,45,provisional_include,历史能源样本且当前仍正常上市,False
600379.SH,陕西宝光真空电器股份有限公司,宝光股份,SSE,108,44.69,provisional_include,历史能源样本且当前仍正常上市,False
600995.SH,南方电网储能股份有限公司,南网储能,SSE,109,44.65,provisional_include,历史能源样本且当前仍正常上市,False
00182.HK,协合新能源集团有限公司,,HKEX,110,44.57,pending_snapshot,HKEX官方快照尚未接入,True
600310.SH,广西能源股份有限公司,广西能源,SSE,111,44.56,provisional_include,历史能源样本且当前仍正常上市,False
00332.HK,元亨燃气控股有限公司,,HKEX,112,44.46,pending_snapshot,HKEX官方快照尚未接入,True
601225.SH,陕西煤业股份有限公司,陕西煤业,SSE,113,44.39,provisional_include,历史能源样本且当前仍正常上市,False
00632.HK,中港石油有限公司,,HKEX,114,44.14,pending_snapshot,HKEX官方快照尚未接入,True
00061.HK,绿领控股集团有限公司,,HKEX,115,44.04,pending_snapshot,HKEX官方快照尚未接入,True
600525.SH,长园科技集团股份有限公司,ST长园,SSE,116,43.98,exclude,ST/*ST排除,False
02386.HK,中石化炼化工程(集团)股份有限公司,,HKEX,117,43.96,pending_snapshot,HKEX官方快照尚未接入,True
002911.SZ,佛燃能源集团股份有限公司,佛燃能源,SZSE,118,43.89,provisional_include,历史能源样本且当前仍正常上市,False
00836.HK,华润电力控股有限公司,,HKEX,119,43.87,pending_snapshot,HKEX官方快照尚未接入,True
002608.SZ,江苏国信股份有限公司,江苏国信,SZSE,120,43.84,provisional_include,历史能源样本且当前仍正常上市,False
08347.HK,F8企业(控股)集团有限公司,,HKEX,121,43.83,pending_snapshot,HKEX官方快照尚未接入,True
002074.SZ,国轩高科股份有限公司,国轩高科,SZSE,122,43.54,provisional_include,历史能源样本且当前仍正常上市,False
00228.HK,中国能源开发控股有限公司,,HKEX,123,43.53,pending_snapshot,HKEX官方快照尚未接入,True
03337.HK,安东油田服务集团,,HKEX,124,43.37,pending_snapshot,HKEX官方快照尚未接入,True
01713.HK,四川能投发展股份有限公司,,HKEX,125,43.33,pending_snapshot,HKEX官方快照尚未接入,True
002531.SZ,天顺风能(苏州)股份有限公司,天顺风能,SZSE,126,43.09,provisional_include,历史能源样本且当前仍正常上市,False
600089.SH,特变电工股份有限公司,特变电工,SSE,127,43.07,provisional_include,历史能源样本且当前仍正常上市,False
000723.SZ,山西美锦能源股份有限公司,美锦能源,SZSE,128,43.02,provisional_include,历史能源样本且当前仍正常上市,False
08631.HK,申港控股有限公司,,HKEX,129,42.92,pending_snapshot,HKEX官方快照尚未接入,True
688006.SH,浙江杭可科技股份有限公司,杭可科技,SSE,130,42.55,provisional_include,历史能源样本且当前仍正常上市,False
000875.SZ,吉林电力股份有限公司,电投绿能,SZSE,131,42.53,provisional_include,历史能源样本且当前仍正常上市,False
300626.SZ,华瑞电器股份有限公司,华瑞股份,SZSE,132,42.49,provisional_include,历史能源样本且当前仍正常上市,False
688778.SH,厦门厦钨新能源材料股份有限公司,厦钨新能,SSE,133,42.35,provisional_include,历史能源样本且当前仍正常上市,False
00353.HK,能源国际投资控股有限公司,,HKEX,134,42.34,pending_snapshot,HKEX官方快照尚未接入,True
600537.SH,亿晶光电科技股份有限公司,*ST亿晶,SSE,135,42.24,exclude,ST/*ST排除,False
01205.HK,中信资源控股有限公司,,HKEX,136,42.18,pending_snapshot,HKEX官方快照尚未接入,True
300185.SZ,通裕重工股份有限公司,通裕重工,SZSE,137,42.17,provisional_include,历史能源样本且当前仍正常上市,False
00346.HK,延长石油国际有限公司,,HKEX,138,42.05,pending_snapshot,HKEX官方快照尚未接入,True
00295.HK,江山控股有限公司,,HKEX,139,41.95,pending_snapshot,HKEX官方快照尚未接入,True
600011.SH,华能国际电力股份有限公司,华能国际,SSE,140,41.89,provisional_include,历史能源样本且当前仍正常上市,False
00607.HK,丰盛控股有限公司,,HKEX,141,41.87,pending_snapshot,HKEX官方快照尚未接入,True
01381.HK,粤丰环保电力有限公司,,HKEX,142,41.75,pending_snapshot,HKEX官方快照尚未接入,True
688707.SH,贵州振华新材料股份有限公司,振华新材,SSE,143,41.62,provisional_include,历史能源样本且当前仍正常上市,False
09689.HK,金泰丰国际控股有限公司,,HKEX,144,41.61,pending_snapshot,HKEX官方快照尚未接入,True
688567.SH,孚能科技(赣州)股份有限公司,孚能科技,SSE,145,41.44,provisional_include,历史能源样本且当前仍正常上市,False
688772.SH,珠海冠宇电池股份有限公司,珠海冠宇,SSE,146,41.42,provisional_include,历史能源样本且当前仍正常上市,False
01277.HK,力量发展集团有限公司,,HKEX,147,41.35,pending_snapshot,HKEX官方快照尚未接入,True
605011.SH,杭州热电集团股份有限公司,杭州热电,SSE,148,41.25,provisional_include,历史能源样本且当前仍正常上市,False
600483.SH,福建福能股份有限公司,福能股份,SSE,149,41.22,provisional_include,历史能源样本且当前仍正常上市,False
00002.HK,中电控股有限公司,,HKEX,150,41.17,pending_snapshot,HKEX官方快照尚未接入,True
600167.SH,联美量子股份有限公司,联美控股,SSE,151,41.06,provisional_include,历史能源样本且当前仍正常上市,False
00650.HK,普达特科技有限公司,,HKEX,152,40.95,pending_snapshot,HKEX官方快照尚未接入,True
603606.SH,宁波东方电缆股份有限公司,东方电缆,SSE,153,40.91,provisional_include,历史能源样本且当前仍正常上市,False
601808.SH,中海油田服务股份有限公司,中海油服,SSE,153,40.91,provisional_include,历史能源样本且当前仍正常上市,False
00196.HK,宏华集团有限公司,,HKEX,154,40.57,pending_snapshot,HKEX官方快照尚未接入,True
001258.SZ,新疆立新能源股份有限公司,立新能源,SZSE,155,40.31,provisional_include,历史能源样本且当前仍正常上市,False
01251.HK,华油能源集团有限公司,,HKEX,156,40.3,pending_snapshot,HKEX官方快照尚未接入,True
01303.HK,汇力资源(集团)有限公司,,HKEX,157,40.24,pending_snapshot,HKEX官方快照尚未接入,True
601991.SH,大唐国际发电股份有限公司,大唐发电,SSE,158,40.11,provisional_include,历史能源样本且当前仍正常上市,False
601139.SH,深圳市燃气集团股份有限公司,深圳燃气,SSE,159,40.04,provisional_include,历史能源样本且当前仍正常上市,False
01393.HK,恒鼎实业国际发展有限公司,,HKEX,160,39.71,pending_snapshot,HKEX官方快照尚未接入,True
001208.SZ,湖南华菱线缆股份有限公司,华菱线缆,SZSE,161,39.63,provisional_include,历史能源样本且当前仍正常上市,False
03800.HK,协鑫科技控股有限公司,,HKEX,162,39.46,pending_snapshot,HKEX官方快照尚未接入,True
002340.SZ,格林美股份有限公司,格林美,SZSE,163,39.44,provisional_include,历史能源样本且当前仍正常上市,False
600688.SH,中国石化上海石油化工股份有限公司,上海石化,SSE,164,39.34,provisional_include,历史能源样本且当前仍正常上市,False
300450.SZ,无锡先导智能装备股份有限公司,先导智能,SZSE,165,39.22,provisional_include,历史能源样本且当前仍正常上市,False
000027.SZ,深圳能源集团股份有限公司,深圳能源,SZSE,166,39.08,provisional_include,历史能源样本且当前仍正常上市,False
000040.SZ,东旭蓝天新能源股份有限公司,,SZSE,167,38.92,manual_review,未匹配当前沪深正常上市底表,True
688349.SH,三一重能股份有限公司,三一重能,SSE,168,38.82,provisional_include,历史能源样本且当前仍正常上市,False
002706.SZ,上海良信电器股份有限公司,良信股份,SZSE,169,38.81,provisional_include,历史能源样本且当前仍正常上市,False
600339.SH,中国石油集团工程股份有限公司,中油工程,SSE,170,38.77,provisional_include,历史能源样本且当前仍正常上市,False
600795.SH,国电电力发展股份有限公司,国电电力,SSE,170,38.77,provisional_include,历史能源样本且当前仍正常上市,False
600505.SH,四川西昌电力股份有限公司,西昌电力,SSE,171,38.73,provisional_include,历史能源样本且当前仍正常上市,False
300919.SZ,中伟新材料股份有限公司,中伟新材,SZSE,172,38.7,provisional_include,历史能源样本且当前仍正常上市,False
01101.HK,中国华荣能源股份有限公司,,HKEX,173,38.63,pending_snapshot,HKEX官方快照尚未接入,True
600863.SH,内蒙古蒙电华能热电股份有限公司,华能蒙电,SSE,174,38.58,provisional_include,历史能源样本且当前仍正常上市,False
600917.SH,重庆燃气集团股份有限公司,重庆燃气,SSE,175,38.52,provisional_include,历史能源样本且当前仍正常上市,False
300376.SZ,易事特集团股份有限公司,易事特,SZSE,176,38.48,provisional_include,历史能源样本且当前仍正常上市,False
300751.SZ,苏州迈为科技股份有限公司,迈为股份,SZSE,177,38.21,provisional_include,历史能源样本且当前仍正常上市,False
600027.SH,华电国际电力股份有限公司,华电国际,SSE,178,38.2,provisional_include,历史能源样本且当前仍正常上市,False
08270.HK,中国煤层气集团有限公司,,HKEX,179,38.11,pending_snapshot,HKEX官方快照尚未接入,True
06885.HK,河南金马能源股份有限公司,,HKEX,180,37.86,pending_snapshot,HKEX官方快照尚未接入,True
601918.SH,中煤新集能源股份有限公司,新集能源,SSE,181,37.71,provisional_include,历史能源样本且当前仍正常上市,False
00042.HK,东北电气发展股份有限公司,,HKEX,182,37.59,pending_snapshot,HKEX官方快照尚未接入,True
00276.HK,蒙古能源有限公司,,HKEX,183,37.58,pending_snapshot,HKEX官方快照尚未接入,True
02798.HK,久泰邦达能源控股有限公司,,HKEX,184,37.4,pending_snapshot,HKEX官方快照尚未接入,True
600025.SH,华能澜沧江水电股份有限公司,华能水电,SSE,185,37.38,provisional_include,历史能源样本且当前仍正常上市,False
300207.SZ,欣旺达电子股份有限公司,欣旺达,SZSE,186,36.97,provisional_include,历史能源样本且当前仍正常上市,False
688819.SH,天能电池集团股份有限公司,天能股份,SSE,187,36.87,provisional_include,历史能源样本且当前仍正常上市,False
00866.HK,中国秦发集团有限公司,,HKEX,188,36.82,pending_snapshot,HKEX官方快照尚未接入,True
01080.HK,胜利油气管道控股有限公司,,HKEX,189,36.78,pending_snapshot,HKEX官方快照尚未接入,True
00065.HK,弘海高新资源有限公司,,HKEX,190,36.72,pending_snapshot,HKEX官方快照尚未接入,True
01811.HK,中国广核新能源控股有限公司,,HKEX,191,36.71,pending_snapshot,HKEX官方快照尚未接入,True
002893.SZ,北京京能热力股份有限公司,京能热力,SZSE,192,36.56,provisional_include,历史能源样本且当前仍正常上市,False
00645.HK,安域亚洲有限公司,,HKEX,193,36.38,pending_snapshot,HKEX官方快照尚未接入,True
601619.SH,宁夏嘉泽新能源股份有限公司,嘉泽新能,SSE,194,36.3,provisional_include,历史能源样本且当前仍正常上市,False
300393.SZ,苏州中来光伏新材股份有限公司,中来股份,SZSE,195,36.12,provisional_include,历史能源样本且当前仍正常上市,False
600268.SH,国电南京自动化股份有限公司,国电南自,SSE,196,36.08,provisional_include,历史能源样本且当前仍正常上市,False
688779.SH,湖南长远锂科股份有限公司,五矿新能,SSE,197,36.03,provisional_include,历史能源样本且当前仍正常上市,False
002812.SZ,云南恩捷新材料股份有限公司,恩捷股份,SZSE,198,35.84,provisional_include,历史能源样本且当前仍正常上市,False
00451.HK,协鑫新能源控股有限公司,,HKEX,199,35.71,pending_snapshot,HKEX官方快照尚未接入,True
01940.HK,CHINA GAS INDUSTRY INVESTMENT HOLDINGS CO. LTD.,,HKEX,200,35.68,pending_snapshot,HKEX官方快照尚未接入,True
600644.SH,乐山电力股份有限公司,乐山电力,SSE,201,35.39,provisional_include,历史能源样本且当前仍正常上市,False
00975.HK,MONGOLIAN MINING CORPORATION,,HKEX,202,35.37,pending_snapshot,HKEX官方快照尚未接入,True
688663.SH,新风光电子科技股份有限公司,DR新风光,SSE,203,35.27,provisional_include,历史能源样本且当前仍正常上市,False
00702.HK,中国油气控股有限公司,,HKEX,204,35.1,pending_snapshot,HKEX官方快照尚未接入,True
688681.SH,山东科汇电力自动化股份有限公司,科汇股份,SSE,205,35.08,provisional_include,历史能源样本且当前仍正常上市,False
01738.HK,飞尚无烟煤资源有限公司,,HKEX,206,34.91,pending_snapshot,HKEX官方快照尚未接入,True
600256.SH,广汇能源股份有限公司,广汇能源,SSE,207,34.9,provisional_include,历史能源样本且当前仍正常上市,False
000703.SZ,恒逸石化股份有限公司,恒逸石化,SZSE,208,34.62,provisional_include,历史能源样本且当前仍正常上市,False
002560.SZ,河南通达电缆股份有限公司,通达股份,SZSE,209,34.56,provisional_include,历史能源样本且当前仍正常上市,False
688560.SH,明冠新材料股份有限公司,明冠新材,SSE,210,34.54,provisional_include,历史能源样本且当前仍正常上市,False
03303.HK,巨涛海洋石油服务有限公司,,HKEX,211,34.49,pending_snapshot,HKEX官方快照尚未接入,True
600578.SH,北京京能电力股份有限公司,京能电力,SSE,212,34.48,provisional_include,历史能源样本且当前仍正常上市,False
000966.SZ,长源电力股份有限公司,长源电力,SZSE,213,34.27,provisional_include,历史能源样本且当前仍正常上市,False
02728.HK,金泰能源控股有限公司,,HKEX,214,34.1,pending_snapshot,HKEX官方快照尚未接入,True
600101.SH,四川明星电力股份有限公司,明星电力,SSE,215,34.04,provisional_include,历史能源样本且当前仍正常上市,False
01608.HK,伟能集团国际控股有限公司,,HKEX,216,34.03,pending_snapshot,HKEX官方快照尚未接入,True
600346.SH,恒力石化股份有限公司,恒力石化,SSE,217,34.01,provisional_include,历史能源样本且当前仍正常上市,False
300037.SZ,深圳新宙邦科技股份有限公司,新宙邦,SZSE,218,33.89,provisional_include,历史能源样本且当前仍正常上市,False
600482.SH,中国船舶重工集团动力股份有限公司,中国动力,SSE,219,33.72,provisional_include,历史能源样本且当前仍正常上市,False
02178.HK,百勤油田服务有限公司,,HKEX,220,33.63,pending_snapshot,HKEX官方快照尚未接入,True
002039.SZ,贵州黔源电力股份有限公司,黔源电力,SZSE,221,33.46,provisional_include,历史能源样本且当前仍正常上市,False
605090.SH,江西九丰能源股份有限公司,九丰能源,SSE,222,32.93,provisional_include,历史能源样本且当前仍正常上市,False
08536.HK,TL Natural Gas Holdings Limited,,HKEX,223,32.9,pending_snapshot,HKEX官方快照尚未接入,True
00968.HK,信义光能控股有限公司,,HKEX,224,32.59,pending_snapshot,HKEX官方快照尚未接入,True
600780.SH,山西通宝能源股份有限公司,XD通宝能,SSE,225,32.41,provisional_include,历史能源样本且当前仍正常上市,False
688226.SH,威腾电气集团股份有限公司,威腾电气,SSE,226,32.08,provisional_include,历史能源样本且当前仍正常上市,False
01229.HK,南南资源实业有限公司,,HKEX,227,32.03,pending_snapshot,HKEX官方快照尚未接入,True
002490.SZ,山东墨龙石油机械股份有限公司,山东墨龙,SZSE,228,32,provisional_include,历史能源样本且当前仍正常上市,False
600023.SH,浙江浙能电力股份有限公司,浙能电力,SSE,229,31.65,provisional_include,历史能源样本且当前仍正常上市,False
601311.SH,骆驼集团股份有限公司,骆驼股份,SSE,230,31.52,provisional_include,历史能源样本且当前仍正常上市,False
00600.HK,中国基建投资有限公司,,HKEX,231,31.39,pending_snapshot,HKEX官方快照尚未接入,True
600452.SH,重庆涪陵电力实业股份有限公司,涪陵电力,SSE,232,31.23,provisional_include,历史能源样本且当前仍正常上市,False
#N/A,中国港能智慧能源集团有限公司,,UNKNOWN,233,30.87,manual_review,证券代码缺失或格式异常,True
601865.SH,福莱特玻璃集团股份有限公司,福莱特,SSE,234,30.86,provisional_include,历史能源样本且当前仍正常上市,False
